question,answer,source
<@U0SBPJ484> <@UG6PD76UC> ちょっとMTG伸びてて遅れてます,<@U0SBPJ484> <@UG6PD76UC> ちょっとMTG伸びてて遅れてます,Slack #corp-ops-all
*【共有】BPR Teamでチームビジョンづくりを始めました！*  みんなどんなことを実現したいと思っているのか。UBや社会に対してどういう存在になりたいのか。一人一人のビジョンを重ね合わせて、チームとしてのビジョンを作ろうとしてます。話してみると「あれ、蒲原さんって意外にそこを重視するんだ？？」みたいな発見があって面白かったです。  *B2B SaaS CDO (Chief Design Officer)の平野さんにビジョンの言語化を手伝ってもらえることになったので*、今日話した内容を叩きにして、蒲原さんとともに、4月中にBPR Teamのビジョンを作り上げたいと思います！  ■今日の資料 <https://docs.google.com/presentation/d/1dwglclpzDGaO6JHz5wROSrDDJdwmFnDnGOmq2eOvJ-w/edit#slide=id.gcd280625d3_0_777>,*【共有】BPR Teamでチームビジョンづくりを始めました！*  みんなどんなことを実現したいと思っているのか。UBや社会に対してどういう存在になりたいのか。一人一人のビジョンを重ね合わせて、チームとしてのビジョンを作ろうとしてます。話してみると「あれ、蒲原さんって意外にそこを重視するんだ？？」みたいな発見があって面白かったです。  *B2B SaaS CDO (Chief Design Officer)の平野さんにビジョンの言語化を手伝ってもらえることになったので*、今日話した内容を叩きにして、蒲原さんとともに、4月中にBPR Teamのビジョンを作り上げたいと思います！  ■今日の資料 <https://docs.google.com/presentation/d/1dwglclpzDGaO6JHz5wROSrDDJdwmFnDnGOmq2eOvJ-w/edit#slide=id.gcd280625d3_0_777>,Slack #corp-ops-all
<@U014RV27HS8> OKR管理とSlackでの進捗共有に重複感があり手間だったので、AIエンジニアの早川君から、Resilyの(非公開)APIを叩いてデータを取得し、Slack共有向けに加工するプログラムをもらいました。Resilyにはこれ使ってますって共有済みで認識してもらっているものです。  僕の手元に開発環境が無くてこれを実行できないんですが、どこかちょうどいい環境は無いでしょうか。,<@U014RV27HS8> OKR管理とSlackでの進捗共有に重複感があり手間だったので、AIエンジニアの早川君から、Resilyの(非公開)APIを叩いてデータを取得し、Slack共有向けに加工するプログラムをもらいました。Resilyにはこれ使ってますって共有済みで認識してもらっているものです。  僕の手元に開発環境が無くてこれを実行できないんですが、どこかちょうどいい環境は無いでしょうか。,Slack #corp-ops-all
:harry:*張替週報*:harry:  *■仕事* 今週は旧SaaS CompanyのFB weekでした。SaaS Companyでは3か月おきにGS/FBを行っています。6か月ではなく3か月周期で行うことで、より短いスパンでリーダーとメンバーの目線合わせをできて、非常にいいなと思います。また、GSという意味でも、「半年先のゴール」よりも、「3か月先のゴール」のほうがやはり解像度が高まって、ゴールを目指しやすい感覚です。  Corporate CompanyのGS/FBサイクルについてはこれから話して決める予定ですが、うまく融合できるといいなと思います。  *■仕事以外* コーポレートで開催するBBQが楽しみ。魚釣って持っていこうか検討中。,:harry:*張替週報*:harry:  *■仕事* 今週は旧SaaS CompanyのFB weekでした。SaaS Companyでは3か月おきにGS/FBを行っています。6か月ではなく3か月周期で行うことで、より短いスパンでリーダーとメンバーの目線合わせをできて、非常にいいなと思います。また、GSという意味でも、「半年先のゴール」よりも、「3か月先のゴール」のほうがやはり解像度が高まって、ゴールを目指しやすい感覚です。  Corporate CompanyのGS/FBサイクルについてはこれから話して決める予定ですが、うまく融合できるといいなと思います。  *■仕事以外* コーポレートで開催するBBQが楽しみ。魚釣って持っていこうか検討中。,Slack #corp-ops-all
<@UG6PD76UC> <@U0SBPJ484> 平野さんにBPRビジョン策定のサポートをしてもらってますが、以下の進め方が良いのではないかと意見もらってます  １：チームで発散フェーズ ２：平野が観点整理をしながら、BPRで収束 ３：収束したら、また発散 ４：もう一度、収束させ終了,<@UG6PD76UC> <@U0SBPJ484> 平野さんにBPRビジョン策定のサポートをしてもらってますが、以下の進め方が良いのではないかと意見もらってます  １：チームで発散フェーズ ２：平野が観点整理をしながら、BPRで収束 ３：収束したら、また発散 ４：もう一度、収束させ終了,Slack #corp-ops-all
で、上の２のステップで、平野さんに観点整理してもらいました。  最初はこれ,で、上の２のステップで、平野さんに観点整理してもらいました。  最初はこれ,Slack #corp-ops-all
で、整理してもらったのがこれ,で、整理してもらったのがこれ,Slack #corp-ops-all
上に基づいてBPRチームでさらに収束させていきましょう,上に基づいてBPRチームでさらに収束させていきましょう,Slack #corp-ops-all
<@U014RV27HS8> MTG入れます？,<@U014RV27HS8> MTG入れます？,Slack #corp-ops-all
<!subteam^S0201QPL6RF> グループメンションのテスト,<!subteam^S0201QPL6RF> グループメンションのテスト,Slack #corp-ops-all
<@U7T0QAEBA> さっきのレベニューマネジメントの環境整備の話、川村さんとかに聞いてみようか。 <@U014RV27HS8> <@U0SBPJ484> 情報共有ですが、いまSP/IN/FSのレベニューマネジメントをスプレッドシートで行っているんですが、プロダクト毎の管理になっていたりして各レベニューリーダーやFP&amp;Aの負荷が高まっています。FP&amp;Aとしてツール導入またはSalesforce上での開発を検討しており、いったん川村さんとかに聞いてみようかと思います。,<@U7T0QAEBA> さっきのレベニューマネジメントの環境整備の話、川村さんとかに聞いてみようか。 <@U014RV27HS8> <@U0SBPJ484> 情報共有ですが、いまSP/IN/FSのレベニューマネジメントをスプレッドシートで行っているんですが、プロダクト毎の管理になっていたりして各レベニューリーダーやFP&amp;Aの負荷が高まっています。FP&amp;Aとしてツール導入またはSalesforce上での開発を検討しており、いったん川村さんとかに聞いてみようかと思います。,Slack #corp-ops-all
直前のMTGがちょっと伸びてて、あと3分くらいでMTG入ります！,直前のMTGがちょっと伸びてて、あと3分くらいでMTG入ります！,Slack #corp-ops-all
:harry:*張替週報*:harry:  *■メンタルモデルセッションやIT Strategy Divisionキックオフなど、コミュニケーションが増えてうれしい* 法人統合や組織変更やコンピテンシー更新などの作業の山を越えて、ようやく組織と向き合えるようになってきた。組織づくりや関係性づくりという観点では、いつもDaniel Kimという人のKey Success Loopを意識しています。簡単にいうと、「関係の質」→「思考の質」→「行動の質」→「結果の質」→「関係の質」というサイクルを作る、という考え方。この考え方で大事なのは、自分の行動で変えることができる「関係の質」からサイクルを回し始めるということ。自分で関係の質を高めるように行動することをブレイクと呼ぶんですが、どんどんブレイクの機会を増やしていきたいです。次のブレイクの機会は UBBBQかな <https://uzabase.slack.com/archives/C02DQ211L/p1619767656030500>  *■BPR採用でオファー予定１名！！* システム関連プロジェクトが多数走り、BPR人材が足りていないことが明確な事業課題になるなか、ようやくBPR採用で１名オファーできそう！他社選考はすでに断っているようなので、きっと受諾してくれるはず。まだまだ採用枠はあるので、引き続き全力で採用進めたい。  *それではみなさん、よいGWを！！*,:harry:*張替週報*:harry:  *■メンタルモデルセッションやIT Strategy Divisionキックオフなど、コミュニケーションが増えてうれしい* 法人統合や組織変更やコンピテンシー更新などの作業の山を越えて、ようやく組織と向き合えるようになってきた。組織づくりや関係性づくりという観点では、いつもDaniel Kimという人のKey Success Loopを意識しています。簡単にいうと、「関係の質」→「思考の質」→「行動の質」→「結果の質」→「関係の質」というサイクルを作る、という考え方。この考え方で大事なのは、自分の行動で変えることができる「関係の質」からサイクルを回し始めるということ。自分で関係の質を高めるように行動することをブレイクと呼ぶんですが、どんどんブレイクの機会を増やしていきたいです。次のブレイクの機会は UBBBQかな <https://uzabase.slack.com/archives/C02DQ211L/p1619767656030500>  *■BPR採用でオファー予定１名！！* システム関連プロジェクトが多数走り、BPR人材が足りていないことが明確な事業課題になるなか、ようやくBPR採用で１名オファーできそう！他社選考はすでに断っているようなので、きっと受諾してくれるはず。まだまだ採用枠はあるので、引き続き全力で採用進めたい。  *それではみなさん、よいGWを！！*,Slack #corp-ops-all
<@U01CBUT5N1L> 以下の支払い申請ですが、松井さんコメント（計上部門変更）が反映されてないので修正お願いできますか？ <https://ssl.wf.jobcan.jp/#/requests/43583|https://ssl.wf.jobcan.jp/#/requests/43583>,<@U01CBUT5N1L> 以下の支払い申請ですが、松井さんコメント（計上部門変更）が反映されてないので修正お願いできますか？ <https://ssl.wf.jobcan.jp/#/requests/43583|https://ssl.wf.jobcan.jp/#/requests/43583>,Slack #corp-ops-all
<@U01D0PQA64A> 月曜に林さんとかと話したSalesforceデータのBigQuery取り込みについていつ頃共有できそう？SPEEDAで解約ヨミ精緻化のためにChurn Modelを作るプロジェクトは走りそうで、そのための基礎情報として商談・契約情報やLPのPV数やGainsightデータを使いたいので、データ環境の整備を進めたく。,<@U01D0PQA64A> 月曜に林さんとかと話したSalesforceデータのBigQuery取り込みについていつ頃共有できそう？SPEEDAで解約ヨミ精緻化のためにChurn Modelを作るプロジェクトは走りそうで、そのための基礎情報として商談・契約情報やLPのPV数やGainsightデータを使いたいので、データ環境の整備を進めたく。,Slack #corp-ops-all
<@U014RV27HS8> アカウント管理や棚卸の工数が多くて業務効率化を進めようとしていた件って、いま誰か動いてますか？,<@U014RV27HS8> アカウント管理や棚卸の工数が多くて業務効率化を進めようとしていた件って、いま誰か動いてますか？,Slack #corp-ops-all
:harry:*張替週報*:harry:  *■BPR採用枠1名、オファー受諾*:tada: 去年から採用を続けてた採用枠がようやく1名充足。まだまだ足りないので引き続き採用進めます。みなさんも積極的に紹介お願いします！！（リファラルのインセンティブあるので！）  *■今週来週が正念場* 法人統合&amp;コーポレート統合後の初の月次決算作業を進めてますが、やはり想定外のことがいろいろ起きます。。間違いなく今が2021年の管理会計のヤマ。その裏で修正計画の策定も進めて、なんとか今週を乗り越えたなーという感じ。  来週はFORCASのSalesforce環境でソアスクをリリース予定。加藤さん、しかちゃんを始めとした大勢で進めてきたプロジェクトなので、何とか無事にリリースしたい！,:harry:*張替週報*:harry:  *■BPR採用枠1名、オファー受諾*:tada: 去年から採用を続けてた採用枠がようやく1名充足。まだまだ足りないので引き続き採用進めます。みなさんも積極的に紹介お願いします！！（リファラルのインセンティブあるので！）  *■今週来週が正念場* 法人統合&amp;コーポレート統合後の初の月次決算作業を進めてますが、やはり想定外のことがいろいろ起きます。。間違いなく今が2021年の管理会計のヤマ。その裏で修正計画の策定も進めて、なんとか今週を乗り越えたなーという感じ。  来週はFORCASのSalesforce環境でソアスクをリリース予定。加藤さん、しかちゃんを始めとした大勢で進めてきたプロジェクトなので、何とか無事にリリースしたい！,Slack #corp-ops-all
<@UH1K4ETMJ> <@U014RV27HS8> sa-price-strategyチャネルをプライベートチャネルに変更したいんですが、こちらジョブカン申請必要になったんでしたっけ？,<@UH1K4ETMJ> <@U014RV27HS8> sa-price-strategyチャネルをプライベートチャネルに変更したいんですが、こちらジョブカン申請必要になったんでしたっけ？,Slack #corp-ops-all
<@UH1K4ETMJ> 了解です。CLCの一部ですね。確認させてもらいたいんですが、情報セキュリティ基本方針は以下で合っていますか？ <https://drive.google.com/file/d/1lLPg5A23O7unho-skFbfjZs2IRGlp1xA/view>  また、経営会議は基本的に議論を行うことに時間を使いたく、報告だけであれば別の仕組みを使いたいんですが、いわゆる回覧を行う仕組みって何かありませんか？ジョブカンで閲覧可能通知を飛ばすのでもよいんでしょうか。,<@UH1K4ETMJ> 了解です。CLCの一部ですね。確認させてもらいたいんですが、情報セキュリティ基本方針は以下で合っていますか？ <https://drive.google.com/file/d/1lLPg5A23O7unho-skFbfjZs2IRGlp1xA/view>  また、経営会議は基本的に議論を行うことに時間を使いたく、報告だけであれば別の仕組みを使いたいんですが、いわゆる回覧を行う仕組みって何かありませんか？ジョブカンで閲覧可能通知を飛ばすのでもよいんでしょうか。,Slack #corp-ops-all
<@U055D9KSFFB> すみません、社外の方とSlackチャネルをShareしたいんですが（Connectionの形で）、この手順を教えてもらえますか？,<@U055D9KSFFB> すみません、社外の方とSlackチャネルをShareしたいんですが（Connectionの形で）、この手順を教えてもらえますか？,Slack #corp-ops-all
<@U0SBJBWCF> ここで話してます,<@U0SBJBWCF> ここで話してます,Slack #corp-ops-all
<@U014RV27HS8> リスク管理表に載っている要対応事項に西脇さん・羽山さん・稲山さん担当のものが複数あります。2Q対応予定のものもいくつかあるんですが、こちら順調に進んでいますか？,<@U014RV27HS8> リスク管理表に載っている要対応事項に西脇さん・羽山さん・稲山さん担当のものが複数あります。2Q対応予定のものもいくつかあるんですが、こちら順調に進んでいますか？,Slack #corp-ops-all
<@U01D0PQA64A> ソアスクリリースは延期したけど、walkmeはSPEENYAとSPIN Salesforceで先行リリースできない？そのほうがFORCAS環境のソアスク上で使う時にもスムーズに使い始められるし、SPEENYAとSPIN環境の定型業務のアウトソースも進められると思う。,<@U01D0PQA64A> ソアスクリリースは延期したけど、walkmeはSPEENYAとSPIN Salesforceで先行リリースできない？そのほうがFORCAS環境のソアスク上で使う時にもスムーズに使い始められるし、SPEENYAとSPIN環境の定型業務のアウトソースも進められると思う。,Slack #corp-ops-all
<@U0SBPJ484> <@U014RV27HS8> 僕がいろいろ仕事を振っていることもあり各チームでいろんなプロジェクトが走っていると思うので、一度整理して優先順位を決めましょうか。来週の火曜朝のミーティングとかで確認させてもらえませんか。,<@U0SBPJ484> <@U014RV27HS8> 僕がいろいろ仕事を振っていることもあり各チームでいろんなプロジェクトが走っていると思うので、一度整理して優先順位を決めましょうか。来週の火曜朝のミーティングとかで確認させてもらえませんか。,Slack #corp-ops-all
:harry:*張替週報*:harry:  ■*Corporate Companyの予実管理の再構築開始* 勘定奉行の柔軟性が乏しいことを起因に、Corporate Companyの予算管理が非常に非効率な形になってしまっていて、結果的に予実管理を回せてなくてブラックボックス化しかけている。これを変えるために①中期的に会計システムのリプレイス、②短期的には勘定奉行にラッパーを被せて疑似的にデータ項目を追加、する方針。短期対応のほうはあと2週間でリリースして、状況を一気に変えたい。  ■*リーダーシップガイド* 先週のTHMで共有されたリーダーシップガイド。これはチームリーダーのみを対象にしているわけじゃなくて、UBメンバー全員が対象なので、自分事として読んでもらいたい。特に各プロジェクトにPMとして入ることも多いDivisionなので、このガイドから得られる気づきも多いのでは。 <https://docs.google.com/presentation/d/1UL3dtuf6Z6Uo5PnVqfQPQWqQi9VD9QpaMBON8Y3HNRE/edit#slide=id.gdc9e145615_0_333>,:harry:*張替週報*:harry:  ■*Corporate Companyの予実管理の再構築開始* 勘定奉行の柔軟性が乏しいことを起因に、Corporate Companyの予算管理が非常に非効率な形になってしまっていて、結果的に予実管理を回せてなくてブラックボックス化しかけている。これを変えるために①中期的に会計システムのリプレイス、②短期的には勘定奉行にラッパーを被せて疑似的にデータ項目を追加、する方針。短期対応のほうはあと2週間でリリースして、状況を一気に変えたい。  ■*リーダーシップガイド* 先週のTHMで共有されたリーダーシップガイド。これはチームリーダーのみを対象にしているわけじゃなくて、UBメンバー全員が対象なので、自分事として読んでもらいたい。特に各プロジェクトにPMとして入ることも多いDivisionなので、このガイドから得られる気づきも多いのでは。 <https://docs.google.com/presentation/d/1UL3dtuf6Z6Uo5PnVqfQPQWqQi9VD9QpaMBON8Y3HNRE/edit#slide=id.gdc9e145615_0_333>,Slack #corp-ops-all
<@U01D0PQA64A> ソアスクリリースが延期されたけど、walkmeも合わせてリリース未済だよね？来週、稲垣さん・道下さん・おかゆさんのwalkme事例インタビューが入ってるけど、もしリリース未済ならインタビューのリスケをしたほうがいいんじゃないかと思っており。,<@U01D0PQA64A> ソアスクリリースが延期されたけど、walkmeも合わせてリリース未済だよね？来週、稲垣さん・道下さん・おかゆさんのwalkme事例インタビューが入ってるけど、もしリリース未済ならインタビューのリスケをしたほうがいいんじゃないかと思っており。,Slack #corp-ops-all
■FORCASのソアスクリリース日 候補①6/26-27（6/11から行うリハで問題なければこの日にリリース） 候補②7/10-11（上記リハで問題があればこの日にリリース）  品質を疎かにすることなく、必ず①でリリースしたい,■FORCASのソアスクリリース日 候補①6/26-27（6/11から行うリハで問題なければこの日にリリース） 候補②7/10-11（上記リハで問題があればこの日にリリース）  品質を疎かにすることなく、必ず①でリリースしたい,Slack #corp-ops-all
<@U014RV27HS8> 管理会計システムとマスタの分科会のキックオフって設定してますか？早く始めたく。僕のほうでIST?と話して進めたほうが良ければそうするので、教えてもらえればと。,<@U014RV27HS8> 管理会計システムとマスタの分科会のキックオフって設定してますか？早く始めたく。僕のほうでIST?と話して進めたほうが良ければそうするので、教えてもらえればと。,Slack #corp-ops-all
<@U8PQH8JUT> 情報セキュリティ周り（BCP）のリスク課題って上場審査に影響あるかわかりますか？いつまでに対応必須なのか期日感を知りたく。,<@U8PQH8JUT> 情報セキュリティ周り（BCP）のリスク課題って上場審査に影響あるかわかりますか？いつまでに対応必須なのか期日感を知りたく。,Slack #corp-ops-all
<@U014RV27HS8> ありがとうございます。具体的な委託業務内容について加藤さん・石川さんとすり合わせて、進めてもらえますか。,<@U014RV27HS8> ありがとうございます。具体的な委託業務内容について加藤さん・石川さんとすり合わせて、進めてもらえますか。,Slack #corp-ops-all
寺本さんの方から以下のアナウンスを流していますので、ぜひご確認ください <https://uzabase.slack.com/archives/CS1GQ77M5/p1623807014477300>,寺本さんの方から以下のアナウンスを流していますので、ぜひご確認ください <https://uzabase.slack.com/archives/CS1GQ77M5/p1623807014477300>,Slack #corp-ops-all
今日話した資料はこちらですー <https://docs.google.com/presentation/d/1_IxPuluFIK2Ac9zpa4pSNu0gau45nVub0mik1CINnYk/edit#slide=id.gdbc7416d8f_2_442>,今日話した資料はこちらですー <https://docs.google.com/presentation/d/1_IxPuluFIK2Ac9zpa4pSNu0gau45nVub0mik1CINnYk/edit#slide=id.gdbc7416d8f_2_442>,Slack #corp-ops-all
たぶんみんな知っているとは思うんですが念のため。以下がOKRの設定や運用ノウハウをまとめたOKR Deckです。 <https://sites.google.com/uzabase.com/ubokr/home?authuser=0>,たぶんみんな知っているとは思うんですが念のため。以下がOKRの設定や運用ノウハウをまとめたOKR Deckです。 <https://sites.google.com/uzabase.com/ubokr/home?authuser=0>,Slack #corp-ops-all
<@U014RV27HS8> 旧CETのKR案、来週の水曜とかまでに作れたりしますか？来週中にはTeamOKR策定に移りたく。,<@U014RV27HS8> 旧CETのKR案、来週の水曜とかまでに作れたりしますか？来週中にはTeamOKR策定に移りたく。,Slack #corp-ops-all
<@U0SBPJ484> 取引先統合のマイルストンについてはTeamOKRのKRで明確化する感じでお願いできればと。,<@U0SBPJ484> 取引先統合のマイルストンについてはTeamOKRのKRで明確化する感じでお願いできればと。,Slack #corp-ops-all
この記事よい <https://newspicks.com/news/5948738/body?utm_source=newspicks&amp;invoker=np_urlshare_uid4064129&amp;utm_medium=urlshare&amp;utm_campaign=np_urlshare|https://newspicks.com/news/5948738/body?utm_source=newspicks&amp;invoker=np_urlshare_uid4064129&amp;utm_medium=urlshare&amp;utm_campaign=np_urlshare>,この記事よい <https://newspicks.com/news/5948738/body?utm_source=newspicks&amp;invoker=np_urlshare_uid4064129&amp;utm_medium=urlshare&amp;utm_campaign=np_urlshare|https://newspicks.com/news/5948738/body?utm_source=newspicks&amp;invoker=np_urlshare_uid4064129&amp;utm_medium=urlshare&amp;utm_campaign=np_urlshare>,Slack #corp-ops-all
<@U01D0PQA64A> SPEEDA R&amp;Dでユーザー単価の価格表を設定する検討を進めています。以下のように2案考えていて、上の案のほうを優先で検討していますが、SPEEDAのSalesforceの仕様上できる・できないを教えてもらえますか？下の案はすぐにはできなそうな気がしています（ID単価で見ると整数にならないケースがあることと、IDユニークな料金表ではないため）  ■ユーザー単価をベースにした設計（こっちのほうが最終系に近い） <https://docs.google.com/spreadsheets/d/1K2yJY-VJkTs6XC1rTUlIQVeTvrx4UegjM8Du42iLHJs/edit#gid=1667670674>  ■ID単価をベースにした設計（かつ、ユーザー課金に近づける） <https://docs.google.com/spreadsheets/d/1K2yJY-VJkTs6XC1rTUlIQVeTvrx4UegjM8Du42iLHJs/edit#gid=1426399448>,<@U01D0PQA64A> SPEEDA R&amp;Dでユーザー単価の価格表を設定する検討を進めています。以下のように2案考えていて、上の案のほうを優先で検討していますが、SPEEDAのSalesforceの仕様上できる・できないを教えてもらえますか？下の案はすぐにはできなそうな気がしています（ID単価で見ると整数にならないケースがあることと、IDユニークな料金表ではないため）  ■ユーザー単価をベースにした設計（こっちのほうが最終系に近い） <https://docs.google.com/spreadsheets/d/1K2yJY-VJkTs6XC1rTUlIQVeTvrx4UegjM8Du42iLHJs/edit#gid=1667670674>  ■ID単価をベースにした設計（かつ、ユーザー課金に近づける） <https://docs.google.com/spreadsheets/d/1K2yJY-VJkTs6XC1rTUlIQVeTvrx4UegjM8Du42iLHJs/edit#gid=1426399448>,Slack #corp-ops-all
<!subteam^S0201QPL6RF> こちら、コンピテンシークライテリアワークショップVol.1の資料です！着々と進めていきます。 <https://docs.google.com/presentation/d/1ouitbW40JnDcFZt2PUezy8pcgqHugUlGVTGLBp5oBcg/edit#slide=id.g82e9430098_0_0>,<!subteam^S0201QPL6RF> こちら、コンピテンシークライテリアワークショップVol.1の資料です！着々と進めていきます。 <https://docs.google.com/presentation/d/1ouitbW40JnDcFZt2PUezy8pcgqHugUlGVTGLBp5oBcg/edit#slide=id.g82e9430098_0_0>,Slack #corp-ops-all
