question,answer,source
<@UFV0JQ5N0> ちょっと聞きたいんですが、佐久間さんが3Qから(?)CFCDでもNP法プレを売る想定があるそうなんですが、可能or不可能で言うと可能でしたっけ？システム外管理なので一応できるといえばできる気がしているんですが。,<@UFV0JQ5N0> ちょっと聞きたいんですが、佐久間さんが3Qから(?)CFCDでもNP法プレを売る想定があるそうなんですが、可能or不可能で言うと可能でしたっけ？システム外管理なので一応できるといえばできる気がしているんですが。,Slack #corp-ops-opsplan-all
<!channel> 共有ですが、支払いサイクルの価格転嫁（一括以外の場合に値上げして、承認不要にする）について、昨日のスピーダ経営会議で方針合意しました。  ただ、「後払いの価格転嫁についても同時に考えよう」ということになったので、もう少し僕のほうで基礎設計を検討します。  ここが決まれば、業務プロセスの設計やスピーダSalesforceの設計に移れるので、2週間程度を目処に合意して、BPM Team and/or Operation Development Teamに引き継ごうと思います。,<!channel> 共有ですが、支払いサイクルの価格転嫁（一括以外の場合に値上げして、承認不要にする）について、昨日のスピーダ経営会議で方針合意しました。  ただ、「後払いの価格転嫁についても同時に考えよう」ということになったので、もう少し僕のほうで基礎設計を検討します。  ここが決まれば、業務プロセスの設計やスピーダSalesforceの設計に移れるので、2週間程度を目処に合意して、BPM Team and/or Operation Development Teamに引き継ごうと思います。,Slack #corp-ops-opsplan-all
<!channel> 今日のBullpen Beerに参加する人は、とりあえず5時にAKICHIに来てくださいー。そこから飲み物とか調達に出かけます,<!channel> 今日のBullpen Beerに参加する人は、とりあえず5時にAKICHIに来てくださいー。そこから飲み物とか調達に出かけます,Slack #corp-ops-opsplan-all
<@UF7LFC47M> 先ほどの資料はこちらです <https://www.notion.so/uzabase/SSO-BPM-0eb8242ac92c44ffb7cadb033cd900ff>,<@UF7LFC47M> 先ほどの資料はこちらです <https://www.notion.so/uzabase/SSO-BPM-0eb8242ac92c44ffb7cadb033cd900ff>,Slack #corp-ops-opsplan-all
<@UF7LFC47M> <@UFV0JQ5N0> 組織変更の情報として、Operations Development TeamとBPMチームの出社ポリシーの選択が抜けていました。両方とも、とりあえず「フルリモートOK／Full Remote Work Available」にしておいたので、もし違ったら変更お願いします。 <https://docs.google.com/spreadsheets/d/1E_Z6mUA0vGVe8dkAg1Wwn1m26Fv7Awe7dYdafWj0WZE/edit?gid=512249135#gid=512249135>,<@UF7LFC47M> <@UFV0JQ5N0> 組織変更の情報として、Operations Development TeamとBPMチームの出社ポリシーの選択が抜けていました。両方とも、とりあえず「フルリモートOK／Full Remote Work Available」にしておいたので、もし違ったら変更お願いします。 <https://docs.google.com/spreadsheets/d/1E_Z6mUA0vGVe8dkAg1Wwn1m26Fv7Awe7dYdafWj0WZE/edit?gid=512249135#gid=512249135>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> FSSのMAUプランについて、価格案って誰が検討することになっているかわかります？木部さんと会話した記憶があったんですが、僕の記憶違いだったようなので確認したく。,<@UFV0JQ5N0> FSSのMAUプランについて、価格案って誰が検討することになっているかわかります？木部さんと会話した記憶があったんですが、僕の記憶違いだったようなので確認したく。,Slack #corp-ops-opsplan-all
<@UF7LFC47M> いまの取次契約のオペレーションプロセスってどこかに描いてたりします？オーナーをLEND-ISに移管したうえでPO/BCS等に購買管理を集約するのをセットで提案したほうがいいと思うので、まとめたく。,<@UF7LFC47M> いまの取次契約のオペレーションプロセスってどこかに描いてたりします？オーナーをLEND-ISに移管したうえでPO/BCS等に購買管理を集約するのをセットで提案したほうがいいと思うので、まとめたく。,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> FBを受けてO2を見直しました。 • 僕がいま動いている部分をKR2として独立して設定する形にしています。 • また、その前提で「スピーダ経営会議メンバー（佐久間、武田、各Domainリーダーなど）と合意した解決方針」の実現に向けてて、各組織(リーガル・ITSなど含む)とQ4計画を合意することをDev Teamの対応内容に入れるのがいいと思います。 この設定であれば、イメージや実際の動きと合うと思いますが、どうでしょうか？ <https://docs.google.com/presentation/d/1_j5fwNVawcSbKGwQgLLSrnpVygU67RftbIY48k8J5c4/edit#slide=id.g2e636387be9_0_21>,<@UFV0JQ5N0> <@UF7LFC47M> FBを受けてO2を見直しました。 • 僕がいま動いている部分をKR2として独立して設定する形にしています。 • また、その前提で「スピーダ経営会議メンバー（佐久間、武田、各Domainリーダーなど）と合意した解決方針」の実現に向けてて、各組織(リーガル・ITSなど含む)とQ4計画を合意することをDev Teamの対応内容に入れるのがいいと思います。 この設定であれば、イメージや実際の動きと合うと思いますが、どうでしょうか？ <https://docs.google.com/presentation/d/1_j5fwNVawcSbKGwQgLLSrnpVygU67RftbIY48k8J5c4/edit#slide=id.g2e636387be9_0_21>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0>  WBS出身の大橋さんから、使用していたMBAの参考図書を教えてもらいました。この辺は入学前に一通り読んでおいたほうが良いかと（たぶん周りの人たちはある程度知識を持っている）。  ```◎講義の全体像をつかむ ビジネスマンの基礎知識としてのMBA入門（早稲田大学ビジネススクール） <https://amzn.asia/d/05jw5jOi>  ◎制度会計 財務会計・入門〔第17版〕: 企業活動を描き出す会計情報とその活用法 (有斐閣アルマ) <https://amzn.asia/d/0didb5q3>  ◎ファイナンス 増補改訂版 道具としてのファイナンス（石野雄一） <https://amzn.asia/d/057gDpxH>  ◎管理会計 【改訂2版】戦略管理会計（西山茂） <https://amzn.asia/d/0ddpH9p5>  ◎起業 WBSのときは、長谷川先生がベンチャー（起業）関係の担当で、当時の先生の著書が参考文献になったりしてたけど、特別テキストは使っていた記憶がない。 <https://www.waseda.jp/fcom/wbs/faculty-jp/6058>  最近の先生の著書だとここらへんになるのかな。 ベンチャー経営論 (はじめての経営学)（長谷川博和） <https://amzn.asia/d/0cIbHX8r>  あとは、長谷川先生の師匠の名前を講義ではよく耳にしてたから、そちらの書籍を読むのもよいのかもしれない。 ベンチャー企業 第4版（松田修一） <https://amzn.asia/d/09mmxXwh>  ◎人事 杉浦先生が人材マネジメントの担当だったのだけど、ちょっと言い回しとか表現にクセがあるから、先生の思考を理解するには、先生の著書とか論文を読んだほうがよい。 <https://www.waseda.jp/fcom/wbs/faculty-jp/6065>  書籍で無難なところでは、やっぱりグロービス MBA組織と人材マネジメント <https://amzn.asia/d/0dvNrAAG>  ◎統計学 結局、取らなかった講義（企業データ分析）のシラバスのデータが残ってたんだけど、その講義では、このテキストを参考文献に挙げてた。 統計学がわかる（技術評論社） <https://amzn.asia/d/04jTK7Ug> 統計学がわかる 【回帰分析・因子分析編】（技術評論社） <https://amzn.asia/d/0h3yjzDB>```,<@UFV0JQ5N0>  WBS出身の大橋さんから、使用していたMBAの参考図書を教えてもらいました。この辺は入学前に一通り読んでおいたほうが良いかと（たぶん周りの人たちはある程度知識を持っている）。  ```◎講義の全体像をつかむ ビジネスマンの基礎知識としてのMBA入門（早稲田大学ビジネススクール） <https://amzn.asia/d/05jw5jOi>  ◎制度会計 財務会計・入門〔第17版〕: 企業活動を描き出す会計情報とその活用法 (有斐閣アルマ) <https://amzn.asia/d/0didb5q3>  ◎ファイナンス 増補改訂版 道具としてのファイナンス（石野雄一） <https://amzn.asia/d/057gDpxH>  ◎管理会計 【改訂2版】戦略管理会計（西山茂） <https://amzn.asia/d/0ddpH9p5>  ◎起業 WBSのときは、長谷川先生がベンチャー（起業）関係の担当で、当時の先生の著書が参考文献になったりしてたけど、特別テキストは使っていた記憶がない。 <https://www.waseda.jp/fcom/wbs/faculty-jp/6058>  最近の先生の著書だとここらへんになるのかな。 ベンチャー経営論 (はじめての経営学)（長谷川博和） <https://amzn.asia/d/0cIbHX8r>  あとは、長谷川先生の師匠の名前を講義ではよく耳にしてたから、そちらの書籍を読むのもよいのかもしれない。 ベンチャー企業 第4版（松田修一） <https://amzn.asia/d/09mmxXwh>  ◎人事 杉浦先生が人材マネジメントの担当だったのだけど、ちょっと言い回しとか表現にクセがあるから、先生の思考を理解するには、先生の著書とか論文を読んだほうがよい。 <https://www.waseda.jp/fcom/wbs/faculty-jp/6065>  書籍で無難なところでは、やっぱりグロービス MBA組織と人材マネジメント <https://amzn.asia/d/0dvNrAAG>  ◎統計学 結局、取らなかった講義（企業データ分析）のシラバスのデータが残ってたんだけど、その講義では、このテキストを参考文献に挙げてた。 統計学がわかる（技術評論社） <https://amzn.asia/d/04jTK7Ug> 統計学がわかる 【回帰分析・因子分析編】（技術評論社） <https://amzn.asia/d/0h3yjzDB>```,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> 取次契約・顧問契約について検討しましたが、やはりSalesOpsは受注処理のみを担当して、事業部（FS・IS）と集中購買組織で取引先登録・契約手続・発注申請・支払実行を行ったほうが、業務をシンプルに整理できるかと思います。  蒲原さんとも連携して業務フローを可視化して（添付①）、取次契約と顧問契約の対応方法を統合する場合の選択肢を簡単にまとめました（添付②）。この形であれば、SSOの工数が増えたり業務が複雑化することなく、取次・顧問契約を広げていけるはず。  FS・ISや集中購買組織側の工数が少し増えることになることになるはずなので、いったんEnablementチームの守屋さんと、Orderの小泉さんに、課題提起と役割分担の変更の可能性を確認してみますね。,<@UFV0JQ5N0> <@UF7LFC47M> 取次契約・顧問契約について検討しましたが、やはりSalesOpsは受注処理のみを担当して、事業部（FS・IS）と集中購買組織で取引先登録・契約手続・発注申請・支払実行を行ったほうが、業務をシンプルに整理できるかと思います。  蒲原さんとも連携して業務フローを可視化して（添付①）、取次契約と顧問契約の対応方法を統合する場合の選択肢を簡単にまとめました（添付②）。この形であれば、SSOの工数が増えたり業務が複雑化することなく、取次・顧問契約を広げていけるはず。  FS・ISや集中購買組織側の工数が少し増えることになることになるはずなので、いったんEnablementチームの守屋さんと、Orderの小泉さんに、課題提起と役割分担の変更の可能性を確認してみますね。,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> SPプレミアムサポートの価格変更の話がLEND経営会議で出ているんですが、こういった「価格変更案件」のOps側での対応体制どうしましょうか。以下ですかね ・全体のとりまとめ：OpsDev ・金額の収益性検証：FP&amp;A ・業務/システム実装：OpsOrder・ITS,<@UFV0JQ5N0> <@UF7LFC47M> SPプレミアムサポートの価格変更の話がLEND経営会議で出ているんですが、こういった「価格変更案件」のOps側での対応体制どうしましょうか。以下ですかね ・全体のとりまとめ：OpsDev ・金額の収益性検証：FP&amp;A ・業務/システム実装：OpsOrder・ITS,Slack #corp-ops-opsplan-all
メモ：これをDiv定例で共有する <https://www.notion.so/uzabase/Big-Deal-7df481e031814df7bd20a0f01bf936d3>,メモ：これをDiv定例で共有する <https://www.notion.so/uzabase/Big-Deal-7df481e031814df7bd20a0f01bf936d3>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> 今日のスピーダ経営会議で、「複数年ディスカウントの設計」についても基本方針を提案しようかと思っているんですが、スクショの方針で何か違和感ありますか？ ※システム面では竹本さんから可能そうだと所感をもらっています <https://www.notion.so/uzabase/2024-06-25-_-7a5cc0ee9f2c40e8bbca8ae17ff9ce35>,<@UFV0JQ5N0> 今日のスピーダ経営会議で、「複数年ディスカウントの設計」についても基本方針を提案しようかと思っているんですが、スクショの方針で何か違和感ありますか？ ※システム面では竹本さんから可能そうだと所感をもらっています <https://www.notion.so/uzabase/2024-06-25-_-7a5cc0ee9f2c40e8bbca8ae17ff9ce35>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> 価格設定のところがやはり課題視されてきていますね。今後、価格変更に関わるものはFP&amp;Aやビジネスサイドと連携して、収益性や収益計画を算出するようにしたいと思います。プロジェクトのステップに追加するようにしてもらえますか？（PJ管理のフォーマットに追加するのがいいと思う）,<@UFV0JQ5N0> <@UF7LFC47M> 価格設定のところがやはり課題視されてきていますね。今後、価格変更に関わるものはFP&amp;Aやビジネスサイドと連携して、収益性や収益計画を算出するようにしたいと思います。プロジェクトのステップに追加するようにしてもらえますか？（PJ管理のフォーマットに追加するのがいいと思う）,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> <@UKPC4V2FM> <@U022F1RAA49> 明日は「月末」「四半期末」「Edge日本販売リリース」「リブランディング」などいろいろ重なっているので、Bullpen Beerはスキップしますね,<@UFV0JQ5N0> <@UF7LFC47M> <@UKPC4V2FM> <@U022F1RAA49> 明日は「月末」「四半期末」「Edge日本販売リリース」「リブランディング」などいろいろ重なっているので、Bullpen Beerはスキップしますね,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> コンサル案件のPJのPMって、OpsDevでいいですよね？おかゆさんか大西さん？,<@UFV0JQ5N0> コンサル案件のPJのPMって、OpsDevでいいですよね？おかゆさんか大西さん？,Slack #corp-ops-opsplan-all
<@UF7LFC47M> ITSのリソースの話は、ITSから僕にきちんと課題として報告するように伝えてもらえますか。 来週水曜にセールスシステムのステコミがあるので、必要ならそこで報告するようにと。,<@UF7LFC47M> ITSのリソースの話は、ITSから僕にきちんと課題として報告するように伝えてもらえますか。 来週水曜にセールスシステムのステコミがあるので、必要ならそこで報告するようにと。,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UF7LFC47M> <@UKPC4V2FM> <@U022F1RAA49> 今日の定例はあまりうまく進行できていなかったと感じたので、FBです。  もちろん月末だったりリリース前などで立て込んでいることは理解していますが（お疲れさまです）、他の会議体では当たり前のように守られていることではあるので、念のため。  こういう一つ一つの所作もPlanningとしてのスキル向上に繋がると思うので、今後意識してもらえればと。  ① 話すことは、会議前にアジェンダに記載する。記載が間に合わなかった場合は、会議の最初に申告する     ◦ 【今日の事象】SPINER追加投資、傑さんからの起案の共有     ◦ 【守らない場合の悪影響】時間配分が狂うため、元々予定していたアジェンダが終わらなくなる ② Division全員で話す必要のない個別の話は優先順位が低いので、会議の最後、または別会議で話す     ◦ 【今日の事象】リブランディングに伴うRPA改修、ドキュメントの整形     ◦ 【守らない場合の悪影響】全員で議論・認識すべきアジェンダが終わらない可能性がある ③ 意思決定を求める際には選択肢を提示する     ◦ 【今日の事象】〇〇という案件を止めたいという提案     ◦ 【守らない場合の悪影響】意思決定全般で選択肢は必要だが、特に「止める」「劣後させる」という判断は不満やハレーションを生みやすいので、選択肢を精査する必要がある,<@UFV0JQ5N0> <@UF7LFC47M> <@UKPC4V2FM> <@U022F1RAA49> 今日の定例はあまりうまく進行できていなかったと感じたので、FBです。  もちろん月末だったりリリース前などで立て込んでいることは理解していますが（お疲れさまです）、他の会議体では当たり前のように守られていることではあるので、念のため。  こういう一つ一つの所作もPlanningとしてのスキル向上に繋がると思うので、今後意識してもらえればと。  ① 話すことは、会議前にアジェンダに記載する。記載が間に合わなかった場合は、会議の最初に申告する     ◦ 【今日の事象】SPINER追加投資、傑さんからの起案の共有     ◦ 【守らない場合の悪影響】時間配分が狂うため、元々予定していたアジェンダが終わらなくなる ② Division全員で話す必要のない個別の話は優先順位が低いので、会議の最後、または別会議で話す     ◦ 【今日の事象】リブランディングに伴うRPA改修、ドキュメントの整形     ◦ 【守らない場合の悪影響】全員で議論・認識すべきアジェンダが終わらない可能性がある ③ 意思決定を求める際には選択肢を提示する     ◦ 【今日の事象】〇〇という案件を止めたいという提案     ◦ 【守らない場合の悪影響】意思決定全般で選択肢は必要だが、特に「止める」「劣後させる」という判断は不満やハレーションを生みやすいので、選択肢を精査する必要がある,Slack #corp-ops-opsplan-all
<@UF7LFC47M> <@UFV0JQ5N0> 明日朝にSPコンサルのMTGがあるんですが、かなりバラバラの話が出てくる気がしているので、OpsPlanとして決める範囲を意識して進めましょう。 たとえば商談管理や案件管理はOpsPlanではなくEnablementがオーナーで、見積・契約・請求以降はOpsPlanがオーナー。,<@UF7LFC47M> <@UFV0JQ5N0> 明日朝にSPコンサルのMTGがあるんですが、かなりバラバラの話が出てくる気がしているので、OpsPlanとして決める範囲を意識して進めましょう。 たとえば商談管理や案件管理はOpsPlanではなくEnablementがオーナーで、見積・契約・請求以降はOpsPlanがオーナー。,Slack #corp-ops-opsplan-all
<@UKPC4V2FM> 水曜の16時に取次契約・顧問契約の発注・支払手続きの業務移管を検討するMTGを組んでいるんですが、大西さんも参加できませんか？集中購買組織への業務移管の話だということと、販売管理との接続も重要になる企画領域なので、OpsDevとして参加してもらいたいく。  おそらく、SPコンサルやMIMIRノンセルフ案件などでも、同じように販売管理と購買管理の接続が重要になるので、大西さんの解像度を高めてもらえればと思います。,<@UKPC4V2FM> 水曜の16時に取次契約・顧問契約の発注・支払手続きの業務移管を検討するMTGを組んでいるんですが、大西さんも参加できませんか？集中購買組織への業務移管の話だということと、販売管理との接続も重要になる企画領域なので、OpsDevとして参加してもらいたいく。  おそらく、SPコンサルやMIMIRノンセルフ案件などでも、同じように販売管理と購買管理の接続が重要になるので、大西さんの解像度を高めてもらえればと思います。,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <https://www.notion.so/uzabase/SP-a68fe57f7db64642a45a341cf4e2c39a>,<@UFV0JQ5N0> <https://www.notion.so/uzabase/SP-a68fe57f7db64642a45a341cf4e2c39a>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UA0GF3ES3> そういえばどこかで共有合ったかもしれませんが、SMDでは一時的に、新規顧客の獲得をかなり縮小する予定です。マーケも止めるレベル。」そのため、SMD新規顧客の対応をする工数が減るはずなので、その分をCFCD案件の対応に回せるかも。,<@UFV0JQ5N0> <@UA0GF3ES3> そういえばどこかで共有合ったかもしれませんが、SMDでは一時的に、新規顧客の獲得をかなり縮小する予定です。マーケも止めるレベル。」そのため、SMD新規顧客の対応をする工数が減るはずなので、その分をCFCD案件の対応に回せるかも。,Slack #corp-ops-opsplan-all
"has renamed the channel from ""hd-sysops-opsplan-all"" to ""corp-sysops-opsplan-all""","has renamed the channel from ""hd-sysops-opsplan-all"" to ""corp-sysops-opsplan-all""",Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> CFCD（川口さん、千葉さん）と月次で2on1をすることにしました。おかゆさんっていま2on1 or 1on1ってしてますっけ？もししているなら、一緒に会議に参加するのはどうでしょうか？,<@UFV0JQ5N0> CFCD（川口さん、千葉さん）と月次で2on1をすることにしました。おかゆさんっていま2on1 or 1on1ってしてますっけ？もししているなら、一緒に会議に参加するのはどうでしょうか？,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> あとでもう少し整理しますが、FSS MAUプランの対応案はざっくりこんな感じです。 <https://www.notion.so/uzabase/FSS-MAU-dd4117918cb2477f927dee68f66a7abc>,<@UFV0JQ5N0> あとでもう少し整理しますが、FSS MAUプランの対応案はざっくりこんな感じです。 <https://www.notion.so/uzabase/FSS-MAU-dd4117918cb2477f927dee68f66a7abc>,Slack #corp-ops-opsplan-all
<@UFV0JQ5N0> <@UGZ7TLBBJ> <@UKPC4V2FM> <@UF7LFC47M> <@U022F1RAA49> 定例のアジェンダにToDoリストを追加しておきました,<@UFV0JQ5N0> <@UGZ7TLBBJ> <@UKPC4V2FM> <@UF7LFC47M> <@U022F1RAA49> 定例のアジェンダにToDoリストを追加しておきました,Slack #corp-ops-opsplan-all
